,Image,F1,Jaccard,Recall,Precision
240,16.png,0.9005847953216374,0.8191489361702128,0.9746835443037974,0.8369565217391305
241,955.png,0.926829268292683,0.8636363636363636,0.9708029197080292,0.8866666666666667
242,2193.png,0.8909795240730493,0.8033932135728543,0.9739866908650938,0.8210096889342172
243,2155.png,0.2986425339366516,0.17553191489361702,0.9460370994940978,0.17730720606826803
244,1977.png,0.0,0.0,0.0,0.0
245,1176.png,0.5578231292517006,0.3867924528301887,0.6119402985074627,0.5125
246,195.png,0.9847565487642445,0.9699708454810496,0.9822852081488043,0.987240356083086
247,1524.png,0.8946439081812831,0.8093716719914803,0.8775981524249422,0.9123649459783914
248,214.png,0.926678445229682,0.8633744855967078,0.9145597210113339,0.9391226499552372
249,1101.png,0.8888888888888888,0.8,0.8163265306122449,0.975609756097561
250,718.png,0.6086956521739131,0.4375,0.45194424064563465,0.9319213313161876
251,683.png,0.9806717958341152,0.9620765832106039,0.9882753403933434,0.9731843575418995
252,1670.png,0.9553264604810997,0.9144736842105263,0.9391891891891891,0.972027972027972
253,2068.png,0.30721776681061075,0.1814868804664723,0.45688073394495415,0.23141263940520446
254,346.png,0.9560574948665298,0.9158143194335169,0.9509803921568627,0.9611890999174236
255,453.png,0.9631665750412315,0.9289501590668081,0.9920724801812004,0.9358974358974359
256,2147.png,0.0,0.0,0.0,0.0
257,679.png,0.9450867052023122,0.8958904109589041,0.9849397590361446,0.9083333333333333
258,1584.png,0.7622317596566524,0.6158113730929264,1.0,0.6158113730929264
259,2582.png,0.914044152184124,0.8416955017301038,0.986815415821501,0.8512685914260717
260,2412.png,0.7958179581795818,0.6608784473953013,0.6608784473953013,1.0
261,1385.png,0.9098360655737705,0.8345864661654135,0.9173553719008265,0.9024390243902439
262,1260.png,0.8492647058823529,0.7380191693290735,0.7938144329896907,0.9130434782608695
263,94.png,0.9094890510948905,0.8340026773761714,0.8522571819425444,0.974960876369327
264,1214.png,0.7566371681415929,0.608540925266904,0.6173285198555957,0.9771428571428571
265,1940.png,0.9370705244122965,0.8815923783599864,0.9635552249907029,0.9120028159098909
266,1517.png,0.9753610875106202,0.9519071310116086,0.9913644214162349,0.959866220735786
267,1304.png,0.8377896613190731,0.7208588957055214,0.7833333333333333,0.9003831417624522
268,1280.png,0.7272727272727273,0.5714285714285714,0.5714285714285714,1.0
269,2839.png,0.0,0.0,0.0,0.0
270,1024.png,0.9498910675381264,0.9045643153526971,0.919831223628692,0.9819819819819819
271,2086.png,0.8290598290598291,0.708029197080292,0.9814502529510961,0.717632552404439
272,2463.png,0.31253023705853894,0.18520642201834864,1.0,0.18520642201834864
273,2011.png,0.2674344209852847,0.15435745937961595,0.15435745937961595,1.0
274,2606.png,0.7644515612489992,0.6187143597719026,0.7609180745935608,0.7680180180180181
275,1393.png,0.9295774647887324,0.868421052631579,0.9880239520958084,0.8776595744680851
276,2795.png,0.6164940828402367,0.44560278000534614,0.470372460496614,0.89431330472103
277,271.png,0.9176470588235294,0.8478260869565217,0.9968051118210862,0.8501362397820164
278,2955.png,0.0,0.0,0.0,0.0
279,2721.png,0.9000345901072293,0.8182389937106919,0.8437094682230869,0.9644180874722016
280,2798.png,0.38607115821347465,0.23921200750469043,0.6513409961685823,0.2743410435718128
281,2970.png,0.0,0.0,0.0,0.0
282,2482.png,0.8711270767849124,0.771678599840891,0.8998144712430427,0.8442123585726719
283,2985.png,0.7624877571008815,0.6161456272259597,0.9713038053649408,0.6275695284159613
284,1207.png,0.9,0.8181818181818182,0.8282208588957055,0.9854014598540146
285,1169.png,0.9610091743119266,0.9249448123620309,0.9577142857142857,0.9643268124280783
286,517.png,0.9437819420783645,0.8935483870967742,0.9822695035460993,0.9081967213114754
287,2614.png,0.0,0.0,0.0,0.0
288,1869.png,0.0,0.0,0.0,0.0
289,533.png,0.9652459016393443,0.9328263624841572,0.9375796178343949,0.9945945945945946
290,2938.png,0.9302675082657048,0.8696262995223377,0.965980024968789,0.8971014492753623
291,871.png,0.7770897832817337,0.6354430379746835,0.6640211640211641,0.9365671641791045
292,1950.png,0.8084358523725835,0.6784660766961652,0.9019607843137255,0.732484076433121
293,60.png,0.9679144385026738,0.9378238341968912,0.9826275787187839,0.9536354056902002
294,2685.png,0.8868144690781797,0.7966457023060797,0.8260869565217391,0.9571788413098237
295,1359.png,0.9538784067085954,0.9118236472945892,0.9891304347826086,0.9210526315789473
296,2518.png,0.7394881170018281,0.5866569978245105,0.9770531400966184,0.5948529411764706
297,724.png,0.9158620689655173,0.8447837150127226,0.8645833333333334,0.9736070381231672
298,1401.png,0.9221674876847291,0.8555758683729433,0.9176470588235294,0.9267326732673268
299,1140.png,0.8825,0.7897091722595079,0.8424821002386634,0.926509186351706
300,2666.png,0.7497243660418964,0.599647266313933,0.6087735004476276,0.975609756097561
301,1121.png,0.6652719665271967,0.49843260188087773,0.9408284023668639,0.5145631067961165
302,764.png,0.7087307410124725,0.5488636363636363,0.5488636363636363,1.0
